english,phonetic
A,eɪ
a,eɪ
aardvark,ˈɑrdˌvɑrk
Aaron,ˈɛrən
Ab,æb
aback,əˈbæk
abacus,ˈæbəkəs
abalone,ˌæbəˈloʊni
abandon,əˈbændən
abandonable,əˈbændənəbl
abandoned,əˈbændənd
abandonedly,əˈbændəndli
abandoner,əˈbændənər
abandonment,əˈbændənmənt
abash,əˈbæʃ
abashed,əˈbæʃt
abashedly,əˈbæʃɪdli
abashedness,əˈbæʃtnəs
abashless,əˈbæʃləs
abashlessly,əˈbæʃləsli
abashment,əˈbæʃmənt
abasia,əˈbeɪʒjə
abatable,əˈbeɪtəbl
abate,əˈbeɪt
abatement,əˈbeɪtmənt
abater,əˈbeɪtər
abator,əˈbeɪtər
Abba,ˈæbə
abbas,əˈbɑs
abbasi,ɑˈbɑsi
abbey,ˈæbi
Abbie,ˈæbi
abbot,ˈæbət
abbotship,ˈæbətʃɪp
abbreviate,əˈbriviˌeɪt
abbreviately,əˈbriviˌeɪtli
abbreviation,əˌbriviˈeɪʃən
abbreviator,əˈbriviˌeɪtər
Abby,ˈæbi
abdicate,ˈæbdəˌkeɪt
abdication,ˌæbdɪˈkeɪʃən
abdicator,ˈæbdəˌkeɪtər
abdomen,æbˈdoʊmən
abdominal,æbˈdɑmənəl
Abdominales,æbˈdɑmənəlz
abdominally,æbˈdɑmənəli
abduct,æbˈdʌkt
abduction,æbˈdʌkʃən
abductor,æbˈdʌktər
Abe,eɪb
abed,əˈbɛd
Abel,ˈeɪbəl
abele,əˈbɛl
Aberdeen,ˈæbərˌdin
aberrant,æˈbɛrənt
aberration,ˌæbəˈreɪʃən
aberrational,ˌæbəˈreɪʃənəl
abet,əˈbɛt
abetment,əˈbɛtmənt
abettor,əˈbɛtər
abeyance,əˈbeɪəns
abhor,æbˈhɔr
abhorrence,əbˈhɔrəns
abhorrent,æbˈhɔrənt
abhorrently,æbˈhɔrəntli
abhorrer,æbˈhɔrər
abhorring,æbˈhɔrɪŋ
abide,əˈbaɪd
abider,əˈbaɪdər
